task,avg_index,avg_score,std_score
change_point_detect_1,2.5000,0.1111,0.1571
change_point_detect_2,2.0000,0.0000,0.0000
change_point_detect_3,1.5000,0.0297,0.0420
change_point_detect_4,2.0000,0.0612,0.0865
ecg_data-extrapolation,2.5000,0.1195,0.1450
ecg_data-gaussian,1.5000,0.0008,0.0006
ecg_data-heartrate,2.0000,56.6229,21.1134
ecg_data-imputation,2.0000,0.0207,0.0075
ecg_data-motion,2.0000,0.0075,0.0127
ecg_data-powerline_1,2.0000,0.0000,0.0000
ecg_data-powerline_2,2.0000,0.0000,0.0000
gait-delay_detection,2.0000,0.0004,0.0003
gait-period_detection,2.0000,0.1658,0.2473
outlier_detect_1,1.5000,0.4990,0.6561
outlier_detect_2,2.0000,0.6775,0.3859
outlier_detect_3,2.0000,0.3833,0.3753
outlier_detect_4,2.0000,0.2639,0.1203
ppg-extrapolation,2.0000,334.8053,578.8808
ppg-imputation,2.0000,1103.3283,1910.6384
resampling,2.0000,0.6719,1.0483
speech-Siren,2.0000,4.0646,3.2714
speech-TelephoneRing1,2.0000,-5.2888,19.1954
speech-TelephoneRing2,2.0000,8.6045,1.4064
speech-TelephoneRing3,2.0000,6.8092,3.0475
speech-echo,2.0000,-19.9657,16.8774